"rewardDate","validator","validatorName","startEpoch","endEpoch","epochRange","epochsInDay","previousDayRewards","endOfDayRewards","dailyRewards","usd","gbp","eur","jpy","cny","inr","aud","krw"
"2022-01-27","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6749","6789","6749-6789","38","6910.60290445984","6936.9306995038205","26.327795043980586","0.16428989473684208","0.1225279210526316","0.14693478947368419","18.901578947368424","1.0450000000000004","12.349473684210526","0.2324683684210526","5.088421052631579"
"2022-01-28","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6790","6830","6790-6830","38","6936.9306995038205","6962.771957641089","25.841258137268596","0.16128581578947368","0.12039247368421052","0.1447023947368421","18.61315789473684","1.0259734473684214","12.104736842105263","0.23022610526315795","5.281315789473684"
"2022-01-29","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6831","6870","6831-6870","40","6962.771957641089","6987.621156851834","24.8491992107447","0.16548640000000003","0.12345115","0.14842612500000002","19.072750000000003","1.052","12.411499999999997","0.23680507500000006","5.2195"
"2022-01-30","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6871","6911","6871-6911","38","6987.621156851834","7013.100778034539","25.47962118270516","0.17020321052631582","0.1269795","0.15271131578947364","19.618157894736836","1.0826315789473684","12.772368421052633","0.243567894736842","5.347894736842105"
"2022-01-31","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6912","6937","6912-6937","26","7013.100778034539","7029.252073008858","16.15129497431917","0.1685174615384615","0.12550469230769234","0.15067046153846153","19.433846153846154","1.0719230769230772","12.60076923076923","0.2393809230769231","8.056923076923077"
"2022-02-01","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6938","6961","6938-6961","24","7029.252073008858","7044.141555121154","14.88948211229581","0.17384187500000003","0.12890950000000004","0.1544977916666667","19.964166666666664","1.1058333333333332","12.987500000000002","0.24513020833333335","8.795"
"2022-02-02","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6962","6998","6962-6998","37","7044.141555121154","7067.046964973808","22.905409852653975","0.17134827027027022","0.12643200000000002","0.15168351351351347","19.618108108108107","1.0902702702702702","12.818378378378378","0.240068054054054","5.366486486486487"
"2022-02-03","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","6999","7039","6999-7039","39","7067.046964973808","7092.399941721233","25.35297674742469","0.1640663846153846","0.12084197435897437","0.144564641025641","18.823589743589743","1.0428205128205132","12.271282051282046","0.23009387179487176","5.001282051282051"
"2022-02-04","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7040","7079","7040-7079","39","7092.399941721233","7117.149468111384","24.749526390151004","0.16681897435897436","0.12299230769230768","0.14563753846153846","19.195641025641027","1.0623076923076924","12.45948717948718","0.23494858974358976","5.395128205128205"
"2022-02-05","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7080","7119","7080-7119","38","7117.149468111384","7141.807976422715","24.65850831133139","0.17119581578947368","0.1264603157894737","0.14952699999999994","19.725526315789473","1.0889473684210536","12.778684210526315","0.24218507894736846","5.400526315789474"
"2022-02-06","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7120","7158","7120-7158","37","7141.807976422715","7165.868045629017","24.060069206301705","0.16758743243243243","0.12378524324324323","0.14634697297297297","19.311351351351348","1.0670270270270268","12.50972972972973","0.23698605405405407","5.412162162162162"
"2022-02-07","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7159","7197","7159-7197","37","7165.868045629017","7189.922370697226","24.054325068209437","0.17692337837837838","0.1308119189189189","0.15471186486486485","20.37027027027027","1.1237837837837839","13.21135135135135","0.2491334054054054","6.206486486486486"
"2022-02-08","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7198","7235","7198-7235","38","7189.922370697226","7213.359291991408","23.436921294181957","0.20145594736842104","0.14878634210526315","0.1764127105263158","23.25631578947369","1.2826315789473686","15.048947368421054","0.28255036842105263","6.411052631578947"
"2022-02-09","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7236","7272","7236-7272","36","7213.359291991408","7236.12524768032","22.765955688912072","0.20162463888888887","0.14874124999999996","0.17643322222222219","23.277777777777768","1.2825000000000002","15.079722222222223","0.2811785833333333","6.7844444444444445"
"2022-02-10","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7273","7310","7273-7310","35","7236.12524768032","7259.520089583777","23.394841903456836","0.20043891428571423","0.14784108571428575","0.17531608571428567","23.208","1.2745714285714291","15.04771428571429","0.2790388000000001","6.457714285714286"
"2022-02-11","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7311","7348","7311-7348","37","7259.520089583777","7282.961603478645","23.441513894867967","0.1862974864864865","0.13740448648648654","0.16365283783783785","21.585405405405403","1.1848648648648648","14.046216216216218","0.26079097297297305","5.722162162162162"
"2022-02-12","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7349","7385","7349-7385","37","7282.961603478645","7305.81878194584","22.8571784671949","0.1749581891891892","0.12896508108108104","0.15413986486486483","20.19540540540541","1.1114054054054057","13.22189189189189","0.24517591891891893","5.749459459459459"
"2022-02-13","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7386","7422","7386-7422","36","7305.81878194584","7328.663542696449","22.844760750609566","0.1783301944444445","0.13149605555555555","0.1571289444444445","20.632222222222225","1.1337777777777778","13.48638888888889","0.2498915","5.798333333333334"
"2022-02-14","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7423","7459","7423-7459","35","7328.663542696449","7351.472435625823","22.808892929373542","0.17094682857142862","0.12634894285714285","0.15099891428571433","19.73342857142857","1.087","12.922571428571427","0.24013928571428567","5.958571428571429"
"2022-02-15","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7460","7499","7460-7499","40","7351.472435625823","7376.131402150204","24.658966524380958","0.1783386","0.13172629999999996","0.15726562500000005","20.608000000000004","1.1325750000000003","13.445999999999994","0.24986539999999996","5.3915"
"2022-02-16","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7500","7537","7500-7537","37","7376.131402150204","7399.575328869309","23.44392671910464","0.17596105405405407","0.1297018378378378","0.1547614054054054","20.338648648648647","1.1154324324324325","13.21","0.245275027027027","5.713783783783784"
"2022-02-17","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7538","7577","7538-7577","39","7399.575328869309","7424.429529925736","24.854201056426973","0.16780738461538464","0.1233424358974359","0.1476362051282051","19.322051282051277","1.0632006153846156","12.594358974358975","0.23314925641025633","4.9202564102564095"
"2022-02-18","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7578","7618","7578-7618","38","7424.429529925736","7449.872401580069","25.44287165433343","0.15843742105263156","0.11643884210526317","0.13957671052631576","18.236052631578946","1.0027473684210524","11.845789473684215","0.220205052631579","4.701052631578947"
"2022-02-19","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7619","7658","7619-7658","40","7449.872401580069","7474.649908282881","24.77750670281239","0.149922675","0.11028445","0.13241652499999995","17.238000000000003","0.9483064250000002","11.196500000000002","0.20898074999999997","4.36675"
"2022-02-20","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7659","7699","7659-7699","41","7474.649908282881","7500.081514082049","25.4316057991673","0.1386059512195122","0.10196460975609754","0.1224591463414634","15.937560975609758","0.8767264390243902","10.35170731707317","0.19317299999999998","3.9080487804878046"
"2022-02-21","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7700","7741","7700-7741","41","7500.081514082049","7526.150099585691","26.06858550364268","0.13064758536585364","0.09597014634146343","0.11519295121951217","15.007560975609755","0.827305780487805","9.748292682926827","0.18139782926829268","3.4878048780487805"
"2022-02-22","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7742","7784","7742-7784","42","7526.150099585691","7553.434819667615","27.284720081923297","0.12065390476190478","0.08883802380952378","0.10652869047619044","13.863571428571428","0.7639216904761904","9.016666666666666","0.1673125238095238","3.7373809523809522"
"2022-02-23","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7785","7833","7785-7833","49","7553.434819667615","7585.9341307957075","32.49931112809281","0.1230533673469388","0.09061567346938776","0.10864457142857144","14.156938775510206","0.7776231020408165","9.183265306122449","0.16990516326530608","2.9308163265306124"
"2022-02-24","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7834","7879","7834-7879","46","7585.9341307957075","7616.3625132252055","30.428382429498015","0.10677419565217396","0.07946934782608693","0.09522297826086958","12.27847826086957","0.6751464782608696","8.044130434782609","0.14883399999999994","2.7697826086956523"
"2022-02-25","rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf","➕radix.plus➕","7880","7927","7880-7927","46","7616.3625132252055","7648.305436105642","31.942922880436527","0.118446","0.08838771739130433","0.10551954347826087","13.675217391304352","0.7482903913043479","8.910434782608693","0.16438397826086956","3.341521739130435"
