rewardDate,validator,validatorName,startEpoch,endEpoch,epochRange,epochsInDay,previousDayRewards,endOfDayRewards,dailyRewards,rewardCurrency
2022-04-13 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10248,10303,10248-10303,44,1142.9158864429664,1156.2156056041786,13.299719161212124,EXRD
2022-04-13 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10248,10303,10248-10303,44,9173.062214160353,9209.917483477766,36.85526931741333,EXRD
2022-04-13 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10248,10303,10248-10303,44,5919.3086098037165,5942.993171376889,23.684561573172687,EXRD
2022-04-13 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10248,10303,10248-10303,44,841.3218627572351,854.9945375964126,13.672674839177489,EXRD
2022-04-13 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10248,10303,10248-10303,44,1350.9413883382479,1350.9413885221854,1.8393757272860967e-7,EXRD
2022-04-13 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10248,10303,10248-10303,44,2317.410134967926,2342.286953365292,24.87681839736615,EXRD
2022-04-13 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10248,10303,10248-10303,44,9011.561554339321,9048.392821954083,36.8312676147616,EXRD
2022-04-14 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10304,10349,10304-10349,42,1885.604622011415,1901.7617733409206,16.157151329505723,EXRD
2022-04-14 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10304,10349,10304-10349,42,1156.2156056041786,1167.1403749151723,10.924769310993725,EXRD
2022-04-14 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10304,10349,10304-10349,42,9209.917483477766,9240.135795568422,30.218312090655672,EXRD
2022-04-14 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10304,10349,10304-10349,42,5942.993171376889,5962.39020985637,19.397038479481125,EXRD
2022-04-14 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10304,10349,10304-10349,42,854.9945375964126,866.1861795499535,11.191641953540966,EXRD
2022-04-14 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10304,10349,10304-10349,42,1350.9413885221854,1350.9413886732757,1.510902620793786e-7,EXRD
2022-04-14 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10304,10349,10304-10349,42,2342.286953365292,2362.661890732241,20.37493736694887,EXRD
2022-04-14 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10304,10349,10304-10349,42,9048.392821954083,9078.554401343034,30.161579388950486,EXRD
2022-04-15 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10350,10411,10350-10411,11,1901.7617733409206,1923.4984084870084,21.736635146087792,EXRD
2022-04-15 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10350,10411,10350-10411,11,1167.1403749151723,1181.5956430620354,14.45526814686309,EXRD
2022-04-15 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10350,10411,10350-10411,11,9240.135795568422,9280.691831898366,40.55603632994462,EXRD
2022-04-15 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10350,10411,10350-10411,11,5962.39020985637,5988.489821570271,26.09961171390023,EXRD
2022-04-15 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10350,10411,10350-10411,11,866.1861795499535,881.2448744641224,15.058694914168882,EXRD
2022-04-15 23:59:59,rv1qgaftlzpdxaacv3jmf0x9vlys3ap0mngfea8gsedph4ckaya0gqe6h9mv6f,✅RadCrew,10350,10411,10350-10411,11,1350.9413886732757,1350.9413888757124,2.0243669496267103e-7,EXRD
2022-04-15 23:59:59,rv1qtu7r2f82qmzphsgw5mug3vzxenzfwrhpyf9rja5ckp2k06ca5duu63guaa,🐱 Ocinode,10350,10411,10350-10411,11,2362.661890732241,2390.04319783784,27.381307105599262,EXRD
2022-04-15 23:59:59,rv1qwjgznknyz0e40nfg69y553rv3g85w6pc5kyfn76ckrkyyql4vc863xcfut,✔️RadixStake,10350,10411,10350-10411,11,9078.554401343034,9119.137067923613,40.582666580579826,EXRD
2022-04-16 23:59:59,rv1qd0060jej9x0upkp6fdrednv8ct2yvdf2ydxm5a9t9ea63tp09c6u0ev6t8, 🧛 ‍RadixStaker 🧛‍ - Stake the vampire!,10412,10466,10412-10466,22,1923.4984084870084,1942.5894261084832,19.091017621474748,EXRD
2022-04-16 23:59:59,rv1qdhvu7wf7ajpvhn8j4m9ptznkaktl5cru2lr5ep9qvze9e5sjqdxxhz9m3h,🔥 EasyStake (🇸🇬 SG),10412,10466,10412-10466,22,1181.5956430620354,1194.4088315774316,12.813188515396178,EXRD
2022-04-16 23:59:59,rv1qdpk5akfjwyqrdmgf3ap2djcyvafuqvaenyjumfq2hht2ev2jlc5x6sjfzf,➕radix.plus➕,10412,10466,10412-10466,22,9280.691831898366,9316.362256301189,35.67042440282239,EXRD
2022-04-16 23:59:59,rv1qdx65px2g9j3gv9mq8vw0t6000zuvhydmgtthdjyf9ksnmu6ht6r2zaeq0f,⚡️Allnodes.com,10412,10466,10412-10466,22,5988.489821570271,6011.421056861909,22.931235291638586,EXRD
2022-04-16 23:59:59,rv1qfxktwkq9amdh678cxfynzt4zeua2tkh8nnrtcjpt7fyl0lmu8r3urllukm,🚀 Florian Pieper Staking,10412,10466,10412-10466,22,881.2448744641224,894.4873501219699,13.242475657847535,EXRD
